LineID;PatternID;StopSeqCount;StopID;Direction
105;1;0;345;1
105;1;2;346;1
105;1;3;347;1
105;1;4;348;1
105;1;5;349;1
105;1;7;350;1
105;1;8;351;1
105;1;9;352;1
105;1;10;353;1
105;1;12;354;1
105;1;13;211;1
105;1;14;355;1
105;1;15;356;1
105;1;17;357;1
105;1;18;358;1
105;1;19;359;1
105;1;20;272;1
105;1;21;360;1
105;1;22;366;1
105;1;23;361;1
105;1;24;362;1
105;1;26;363;1
105;1;27;368;1
105;1;28;370;1
105;2;0;370;2
105;2;2;364;2
105;2;3;373;2
105;2;4;374;2
105;2;5;375;2
105;2;6;367;2
105;2;8;376;2
105;2;9;377;2
105;2;10;250;2
105;2;12;378;2
105;2;13;379;2
105;2;15;380;2
105;2;16;381;2
105;2;17;382;2
105;2;18;383;2
105;2;20;384;2
105;2;21;385;2
105;2;22;386;2
105;2;23;387;2
105;2;24;388;2
105;2;26;389;2
105;2;27;390;2
105;2;28;391;2
105;2;29;392;2
105;2;31;345;2
105;4;0;370;2
105;4;2;364;2
105;4;3;373;2
105;4;4;374;2
105;4;5;375;2
105;4;6;367;2
105;4;8;376;2
105;4;9;377;2
105;4;10;250;2
105;4;12;378;2
105;4;13;379;2
105;4;15;380;2
105;4;16;381;2
105;4;17;382;2
105;4;18;213;2
105;4;19;214;2
105;4;21;215;2
105;4;23;3704;2
105;4;24;497;2
105;4;26;3708;2
105;5;0;345;1
105;5;2;346;1
105;5;3;347;1
105;5;4;348;1
105;5;5;349;1
105;5;7;350;1
105;5;8;351;1
105;5;9;352;1
105;5;10;118;1
105;5;11;135;1
105;5;12;119;1
105;5;13;104;1
105;6;0;370;2
105;6;2;364;2
105;6;3;373;2
105;6;4;374;2
105;6;5;375;2
105;6;6;367;2
105;6;8;376;2
105;6;9;377;2
105;6;10;250;2
105;6;12;378;2
105;6;13;379;2
105;6;15;380;2
105;6;16;381;2
105;6;17;382;2
105;6;18;383;2
105;6;20;384;2
105;6;21;385;2
105;6;22;386;2
105;6;23;387;2
105;6;24;4703;2
105;7;0;345;1
105;7;2;346;1
105;7;3;347;1
105;7;4;348;1
105;7;5;349;1
105;7;7;350;1
105;7;8;351;1
105;7;9;352;1
105;7;10;353;1
105;7;12;354;1
105;7;13;211;1
105;7;14;149;1
105;7;16;150;1
105;7;17;1212;1
105;8;0;370;2
105;8;2;364;2
105;8;3;373;2
105;8;4;374;2
105;8;5;375;2
105;8;6;367;2
105;8;8;376;2
105;8;9;365;2
105;9;0;345;1
105;9;2;346;1
105;9;3;347;1
105;9;4;348;1
105;9;5;349;1
105;9;7;350;1
105;9;8;351;1
105;9;9;352;1
105;9;10;353;1
105;9;12;354;1
105;9;13;211;1
105;9;14;355;1
105;9;15;356;1
105;9;16;218;1
105;9;17;219;1
105;9;19;1347;1
105;10;0;370;2
105;10;2;364;2
105;10;3;373;2
105;10;4;374;2
105;10;5;375;2
105;10;6;367;2
105;10;8;376;2
105;10;9;377;2
105;10;10;250;2
105;10;12;378;2
105;10;13;379;2
105;10;15;380;2
105;10;16;381;2
105;10;17;382;2
105;10;18;383;2
105;10;20;384;2
105;10;21;385;2
105;10;22;386;2
105;10;23;387;2
105;10;24;388;2
105;10;26;389;2
105;10;27;390;2
105;10;28;328;2
105;10;29;1019;2
