StopID;DIVA;StopText;Municipality;MunicipalityID;Longitude;Latitude
99;60200786;Liechtenwerder Platz;Wien;49000001;16.3565067;48.2325773
100;60200099;Augasse;Wien;49000001;16.3573242;48.2299923
104;60200099;Augasse  (Schleife);Wien;49000001;16.3569918;48.2298546
118;60200345;Franz-Josefs-Bahnhof S;Wien;49000001;16.3611331;48.2257913
119;60200099;Augasse;Wien;49000001;16.3574410;48.2299623
120;60200786;Liechtenwerder Platz;Wien;49000001;16.3566684;48.2325175
135;60200034;Althanstraße;Wien;49000001;16.3597496;48.2287416
136;60200034;Althanstraße;Wien;49000001;16.3592286;48.2289570
149;60201226;Sensengasse;Wien;49000001;16.3555455;48.2207042
150;60201197;Schwarzspanierstraße;Wien;49000001;16.3590490;48.2173404
188;60201288;Spitalgasse;Wien;49000001;16.3536770;48.2220628
209;60200202;Canisiusgasse;Wien;49000001;16.3547460;48.2282628
210;60200029;Nußdorfer Straße / Alserbachstraße;Wien;49000001;16.3546921;48.2251689
211;60201288;Spitalgasse;Wien;49000001;16.3533536;48.2225715
213;60200029;Nußdorfer Straße / Alserbachstraße;Wien;49000001;16.3551593;48.2256237
214;60200202;Canisiusgasse;Wien;49000001;16.3549167;48.2279696
215;60200950;Nußdorfer Straße U;Wien;49000001;16.3542520;48.2315301
218;60201267;Skodagasse;Wien;49000001;16.3491855;48.2152155
219;60200178;Brünnlbadgasse;Wien;49000001;16.3463198;48.2154849
220;60200027;Alser Straße U;Wien;49000001;16.3421337;48.2172207
221;60200988;Palffygasse;Wien;49000001;16.3366719;48.2176995
222;60200276;Elterleinplatz;Wien;49000001;16.3319648;48.2181724
223;60201115;Rosensteingasse;Wien;49000001;16.3270600;48.2192438
232;60200276;Elterleinplatz;Wien;49000001;16.3328810;48.2180886
233;60200988;Palffygasse;Wien;49000001;16.3366450;48.2175918
234;60200027;Alser Straße U;Wien;49000001;16.3420798;48.2171549
235;60200178;Brünnlbadgasse;Wien;49000001;16.3453407;48.2155028
236;60201267;Skodagasse;Wien;49000001;16.3491675;48.2151377
237;60200747;Lange Gasse;Wien;49000001;16.3504251;48.2149880
241;60200840;Maroltingergasse;Wien;49000001;16.3057699;48.2144134
242;60200840;Maroltingergasse;Wien;49000001;16.3059855;48.2134736
243;60201865;Weinheimergasse;Wien;49000001;16.3111328;48.2136831
244;60201080;Redtenbachergasse;Wien;49000001;16.3144207;48.2133299
245;60200669;Familienplatz;Wien;49000001;16.3185799;48.2134257
246;60200602;Johann-Nepomuk-Berger-Platz;Wien;49000001;16.3251016;48.2131923
247;60200456;Haberlgasse;Wien;49000001;16.3305544;48.2117915
248;60200173;Brunnenmarkt;Wien;49000001;16.3357287;48.2110851
249;60200615;Josefstädter Straße U;Wien;49000001;16.3392591;48.2111689
250;60200019;Albertgasse;Wien;49000001;16.3435710;48.2106182
272;60200148;Blindengasse;Wien;49000001;16.3407952;48.2110073
273;60200615;Josefstädter Straße U;Wien;49000001;16.3390255;48.2110492
274;60200173;Brunnenmarkt;Wien;49000001;16.3363934;48.2111031
275;60200456;Neulerchenfelder Str. / Haberlgasse;Wien;49000001;16.3316054;48.2116957
277;60200669;Familienplatz;Wien;49000001;16.3194422;48.2135634
278;60201080;Redtenbachergasse;Wien;49000001;16.3150135;48.2133240
279;60200601;Johannes-Krawarik-Gasse;Wien;49000001;16.3086714;48.2138627
311;60201040;Praterstern S U;Wien;49000001;16.3916039;48.2183579
312;60201130;Rueppgasse;Wien;49000001;16.3864116;48.2205366
313;60200494;Taborstraße;Wien;49000001;16.3827196;48.2221645
314;60200051;Am Tabor;Wien;49000001;16.3839862;48.2255818
315;60201079;Rebhanngasse;Wien;49000001;16.3881364;48.2277721
316;60200578;Innstraße;Wien;49000001;16.3870944;48.2303154
317;60201385;Traisengasse S;Wien;49000001;16.3832316;48.2337501
318;60200500;Dresdner Straße U;Wien;49000001;16.3793689;48.2371906
319;60200569;Höchstädtplatz;Wien;49000001;16.3773387;48.2390154
321;60200363;Friedrich-Engels-Platz;Wien;49000001;16.3795934;48.2442682
322;60200569;Höchstädtplatz;Wien;49000001;16.3770602;48.2396676
323;60200500;Dresdner Straße U;Wien;49000001;16.3792790;48.2371427
324;60201385;Traisengasse S;Wien;49000001;16.3831687;48.2336604
325;60200578;Innstraße;Wien;49000001;16.3864745;48.2307223
326;60201079;Rebhanngasse;Wien;49000001;16.3883969;48.2282030
327;60200051;Am Tabor;Wien;49000001;16.3837167;48.2254921
328;60200494;Heinestraße, Taborstraße;Wien;49000001;16.3824231;48.2226074
329;60201130;Rueppgasse;Wien;49000001;16.3857738;48.2204767
345;60201040;Praterstern S U;Wien;49000001;16.3916039;48.2182083
346;60200941;Nordbahnstraße;Wien;49000001;16.3894929;48.2232717
347;60200051;Am Tabor;Wien;49000001;16.3840221;48.2251031
348;60200944;Nordwestbahnstraße;Wien;49000001;16.3808421;48.2280773
349;60201077;Rauscherstraße;Wien;49000001;16.3753534;48.2307343
350;60201443;Wallensteinplatz;Wien;49000001;16.3713828;48.2300940
351;60201444;Klosterneuburger Str. / Wallensteinstraße;Wien;49000001;16.3686519;48.2288373
352;60200357;Friedensbrücke U;Wien;49000001;16.3651306;48.2271438
353;60200345;Franz-Josefs-Bahnhof S;Wien;49000001;16.3611331;48.2255579
354;60200029;Nußdorfer Straße;Wien;49000001;16.3549077;48.2247859
355;60200762;Lazarettgasse;Wien;49000001;16.3518175;48.2192198
356;60200747;Lange Gasse;Wien;49000001;16.3509551;48.2152095
357;60200753;Laudongasse;Wien;49000001;16.3480356;48.2132581
358;60200333;Florianigasse;Wien;49000001;16.3457539;48.2129408
359;60200019;Albertgasse;Wien;49000001;16.3439752;48.2108098
360;60201558;Lerchenfelder Straße;Wien;49000001;16.3393489;48.2086786
361;60200644;Kaiserstraße, Burggasse;Wien;49000001;16.3399508;48.2045238
362;60200646;Kaiserstraße;Wien;49000001;16.3404179;48.2020511
363;60201328;Stollgasse;Wien;49000001;16.3410377;48.1988956
364;60200643;Mariahilfer Straße / Kaiserstraße;Wien;49000001;16.3416306;48.1966742
365;60200615;Josefstädter Straße U;Wien;49000001;16.3395286;48.2116299
366;60200645;Kaiserstraße, Neustiftgasse;Wien;49000001;16.3396184;48.2062420
367;60200645;Kaiserstraße, Neustiftgasse;Wien;49000001;16.3398070;48.2057810
368;60201468;Westbahnhof (Bed.-HS);Wien;49000001;16.3394567;48.1966802
370;60201468;Westbahnhof S U;Wien;49000001;16.3394926;48.1966562
373;60201328;Stollgasse;Wien;49000001;16.3410916;48.1985543
374;60200646;Kaiserstraße;Wien;49000001;16.3405886;48.2016080
375;60200644;Kaiserstraße, Burggasse;Wien;49000001;16.3401394;48.2040268
376;60201558;Lerchenfelder Straße;Wien;49000001;16.3394298;48.2082116
377;60200148;Blindengasse;Wien;49000001;16.3404538;48.2107499
378;60200333;Florianigasse;Wien;49000001;16.3451520;48.2123841
379;60200753;Laudongasse;Wien;49000001;16.3498682;48.2132401
380;60200747;Lange Gasse;Wien;49000001;16.3510629;48.2145630
381;60200762;Lazarettgasse;Wien;49000001;16.3516199;48.2185914
382;60201288;Spitalgasse;Wien;49000001;16.3531830;48.2220269
383;60200029;Nußdorfer Straße / Alserbachstraße;Wien;49000001;16.3549347;48.2247200
384;60200345;Franz-Josefs-Bahnhof S;Wien;49000001;16.3611780;48.2255040
385;60200357;Friedensbrücke U;Wien;49000001;16.3653641;48.2271557
386;60201444;Klosterneuburger Str. / Wallensteinstraße;Wien;49000001;16.3680141;48.2284424
387;60201443;Wallensteinplatz;Wien;49000001;16.3707810;48.2297529
388;60201077;Rauscherstraße;Wien;49000001;16.3752905;48.2306804
389;60200944;Nordwestbahnstraße;Wien;49000001;16.3807523;48.2280055
390;60200051;Am Tabor;Wien;49000001;16.3830430;48.2255280
391;60200941;Nordbahnstraße;Wien;49000001;16.3888012;48.2237266
392;60200899;Mühlfeldgasse;Wien;49000001;16.3900588;48.2204348
458;60200615;Josefstädter Straße U;Wien;49000001;16.3388099;48.2113186
464;60201468;Westbahnhof S U;Wien;49000001;16.3387919;48.1968538
483;60201468;Westbahnhof S U;Wien;49000001;16.3388908;48.1968718
497;60200950;Nußdorfer Straße U;Wien;49000001;16.3540992;48.2324217
528;60200861;Mayssengasse;Wien;49000001;16.3254699;48.2162450
