DIVA;PlatformText;Municipality;MunicipalityID;Longitude;Latitude
60200019;Albertgasse;Wien;49000001;16.3440381;48.2106062
60200027;Alser Straße;Wien;49000001;16.3419989;48.2171429
60200029;Alserbachstraße;Wien;49000001;16.3549526;48.2247859
60200034;Althanstraße;Wien;49000001;16.3595520;48.2288373
60200051;Am Tabor;Wien;49000001;16.3834742;48.2251031
60200055;Ameisgasse;Wien;49000001;16.2995176;48.1938538
60200067;Rudolfsheim, Anschützgasse;Wien;49000001;16.3230535;48.1903745
60200099;Augasse;Wien;49000001;16.3574410;48.2297110
60200113;Linzer Straße, Hochsatzengasse;Wien;49000001;16.2771046;48.1968538
60200148;Blindengasse;Wien;49000001;16.3404808;48.2109714
60200166;Breitensee;Wien;49000001;16.3063628;48.1982430
60200170;Brigittaplatz;Wien;49000001;16.3703318;48.2326431
60200173;Brunnenmarkt;Wien;49000001;16.3359443;48.2110911
60200178;Brünnlbadgasse;Wien;49000001;16.3457359;48.2153951
60200197;Camillo-Sitte-Gasse;Wien;49000001;16.3273025;48.2050027
60200202;Canisiusgasse;Wien;49000001;16.3548089;48.2280474
60200235;Floridsdorfer Brücke;Wien;49000001;16.3878669;48.2485993
60200276;Elterleinplatz;Wien;49000001;16.3310575;48.2181784
60200302;Diesterweggasse;Wien;49000001;16.3063358;48.1937579
60200333;Florianigasse;Wien;49000001;16.3456820;48.2127912
60200334;Floridsdorf;Wien;49000001;16.4002996;48.2567938
60200345;Franz-Josefs-Bahnhof;Wien;49000001;16.3611510;48.2259888
60200357;Friedensbrücke;Wien;49000001;16.3648790;48.2270301
60200358;Baumgarten;Wien;49000001;16.2714902;48.1990633
60200363;Friedrich-Engels-Platz;Wien;49000001;16.3797282;48.2442742
60200389;Gerhardusgasse;Wien;49000001;16.3662534;48.2316977
60200434;Gruschaplatz;Wien;49000001;16.2826383;48.1953927
60200440;Guntherstraße;Wien;49000001;16.3267635;48.2023744
60200442;Gusenleithnergasse;Wien;49000001;16.2900583;48.1946502
60200456;Haberlgasse;Wien;49000001;16.3311563;48.2117017
60200458;Beingasse;Wien;49000001;16.3322792;48.1994046
60200472;Lützowgasse;Wien;49000001;16.2948913;48.1972430
60200494;Heinestraße;Wien;49000001;16.3823333;48.2222842
60200500;Dresdner Straße;Wien;49000001;16.3795216;48.2369812
60200534;Hochsatzengasse;Wien;49000001;16.2774011;48.1980095
60200554;Hubertusdamm;Wien;49000001;16.3921878;48.2507647
60200556;Huglgasse;Wien;49000001;16.3251915;48.1979256
60200569;Höchstädtplatz;Wien;49000001;16.3769075;48.2392428
60200578;Innstraße;Wien;49000001;16.3867800;48.2305189
60200597;Joachimsthalerplatz;Wien;49000001;16.3049255;48.2088462
60200601;Johannes-Krawarik-Gasse;Wien;49000001;16.3086804;48.2137909
60200602;Johann-Nepomuk-Berger-Platz;Wien;49000001;16.3254610;48.2131025
60200606;Johnstraße;Wien;49000001;16.3196399;48.1976741
60200615;Josefstädter Straße;Wien;49000001;16.3391603;48.2113844
60200643;Mariahilfer Straße, Kaiserstraße;Wien;49000001;16.3415767;48.1966742
60200644;Kaiserstraße, Burggasse;Wien;49000001;16.3400316;48.2043202
60200645;Kaiserstraße, Neustiftgasse;Wien;49000001;16.3396813;48.2060265
60200646;Kaiserstraße;Wien;49000001;16.3405257;48.2018355
60200657;Karlsplatz;Wien;49000001;16.3689484;48.2009554
60200659;Karmeliterplatz;Wien;49000001;16.3803480;48.2157602
60200669;Familienplatz;Wien;49000001;16.3189302;48.2135275
60200704;Panikengasse;Wien;49000001;16.3243201;48.2080500
60200712;Geibelgasse;Wien;49000001;16.3317132;48.1917159
60200747;Lange Gasse;Wien;49000001;16.3509551;48.2149761
60200753;Laudongasse;Wien;49000001;16.3490058;48.2132461
60200762;Lazarettgasse;Wien;49000001;16.3517546;48.2189744
60200780;Leyserstraße;Wien;49000001;16.3023832;48.1981232
